Original gene set ID	Original gene set description	Nominal P value	False discovery rate	qvalue	Test statistic	Adjusted test statistic	Reconstituted gene set Z score gene 1	Reconstituted gene set Z score gene 2	Reconstituted gene set Z score gene 3	Reconstituted gene set Z score gene 4	Reconstituted gene set Z score gene 5	Reconstituted gene set Z score gene 6	Reconstituted gene set Z score gene 7	Reconstituted gene set Z score gene 8	Reconstituted gene set Z score gene 9	Reconstituted gene set Z score gene 10
MP:0000137	abnormal vertebrae morphology	1.245E-10	<0.01	0	78.905	6.328	FBN2 (4.936*,22.0)	ROR2 (4.548*,36.0)	MATN3 (4.355*,48.0)	PTPN13 (4.303*,51.0)	PTH1R (3.923*,80.0)	TBX15 (3.791*,95.0)	FIBIN (3.733*,102.0)	SUSD5 (3.66*,113.0)	SNAI1 (3.38*,154.0)	FRZB (3.317*,162.0)
MP:0000097	short maxilla	1.315E-10	<0.01	0	74.905	6.319	PTH1R (4.255*,51.0)	LOXL4 (3.605*,99.0)	PTCH1 (3.336*,131.0)	SERPINF1 (3.25*,140.0)	SUSD5 (3.133*,158.0)	TIAM2 (3.117*,164.0)	TBX15 (2.987*,192.0)	FBN2 (2.96*,198.0)	CHSY1 (2.744*,261.0)	SLC8A3 (2.68*,279.0)
MP:0000074	abnormal neurocranium morphology	1.347E-10	<0.01	0	76.802	6.315	SUSD5 (4.148*,44.0)	PTH1R (3.601*,78.0)	FBN2 (3.424*,100.0)	PTCH1 (3.379*,108.0)	TIAM2 (3.279*,119.0)	FRZB (3.154*,137.0)	SNAI1 (3.077*,158.0)	MMP14 (3.072*,160.0)	MATN3 (3.038*,169.0)	TBX15 (2.951*,196.0)
MP:0000159	abnormal xiphoid process morphology	1.756E-10	<0.01	0	74.913	6.274	FBN2 (4.625*,19.0)	ROR2 (4.023*,45.0)	MATN3 (3.502*,93.0)	CCDC8 (3.486*,99.0)	TBX15 (3.318*,127.0)	SUSD5 (3.116*,177.0)	PTCH1 (2.866*,254.0)	ADAMTS17 (2.768*,284.0)	FIBIN (2.706*,316.0)	CHSY1 (2.702*,321.0)
MP:0008525	decreased cranium height	2.149E-10	<0.01	0	74.041	6.243	PTH1R (4.718*,13.0)	PTCH1 (3.931*,32.0)	SLC8A3 (3.922*,33.0)	LOXL4 (3.569*,44.0)	FBN2 (3.158*,84.0)	FGFR4 (3.107*,91.0)	ROR2 (2.611*,231.0)	PTPN13 (2.592*,237.0)	SERPINF1 (2.542*,254.0)	FIBIN (2.399*,325.0)
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	2.193E-10	<0.01	0	69.57	6.24	MATN3 (4.279*,26.0)	SNAI1 (4.099*,36.0)	WWC2 (3.794*,52.0)	PTCH1 (3.595*,68.0)	SFRP4 (3.327*,97.0)	IHH (3.057*,144.0)	CYP1B1 (2.863*,185.0)	ADAMTS6 (2.843*,192.0)	ELN (2.793*,208.0)	FIBIN (2.658*,245.0)
MP:0000558	abnormal tibia morphology	2.322E-10	<0.01	0	76.258	6.231	MATN3 (5.707*,9.0)	FIBIN (3.863*,61.0)	FRZB (3.832*,66.0)	SUSD5 (3.752*,75.0)	PTH1R (3.62*,94.0)	SFRP4 (3.332*,137.0)	IHH (3.291*,144.0)	ROR2 (3.236*,149.0)	TBX15 (3.174*,155.0)	LOXL4 (3.108*,179.0)
MP:0000063	decreased bone mineral density	3.558E-10	<0.01	0	79.758	6.163	PTH1R (5.896*,2.0)	HSD11B2 (3.577*,81.0)	LOXL4 (3.411*,114.0)	IHH (3.334*,130.0)	SNAI1 (3.132*,162.0)	CHSY1 (2.978*,206.0)	PTPN13 (2.862*,244.0)	MMP14 (2.856*,248.0)	FRZB (2.732*,299.0)	MATN3 (2.69*,312.0)
MP:0003560	osteoarthritis	5.607E-10	<0.01	0	82.026	6.091	MATN3 (7.297*,22.0)	SUSD5 (6.759*,33.0)	CRISPLD2 (5.601*,53.0)	FIBIN (4.976*,70.0)	ELN (4.569*,87.0)	FRZB (4.562*,88.0)	SFRP4 (4.261*,99.0)	TIAM2 (3.74*,139.0)	LAMB2 (3.185*,217.0)	GLT8D2 (2.926*,265.0)
MP:0001178	pulmonary hypoplasia	5.925E-10	<0.01	0	79.102	6.082	FIBIN (4.525*,17.0)	ELN (4.058*,32.0)	CCDC8 (3.69*,60.0)	FBN2 (3.638*,64.0)	SFRP4 (3.487*,82.0)	PTCH1 (3.163*,144.0)	FGFR4 (2.916*,192.0)	PDE5A (2.761*,256.0)	SUSD5 (2.484*,376.0)	ADAMTS6 (2.456*,393.0)
MP:0006397	disorganized long bone epiphyseal plate	5.962E-10	<0.01	0	72.262	6.081	PTH1R (5.206*,14.0)	SLC8A3 (5.048*,16.0)	DUSP1 (4.487*,31.0)	LOXL4 (4.064*,39.0)	IHH (3.826*,48.0)	MATN3 (3.572*,65.0)	SUSD5 (3.262*,93.0)	SLC35E3 (3.078*,117.0)	FRZB (2.883*,146.0)	SNAI1 (2.741*,188.0)
MP:0002544	brachydactyly	7.58E-10	<0.01	0	71.461	6.043	FBN2 (4.734*,43.0)	MATN3 (3.932*,93.0)	IHH (3.931*,94.0)	CCDC8 (3.551*,127.0)	TTC28 (3.475*,136.0)	PTH1R (3.474*,137.0)	SUSD5 (3.374*,156.0)	FRZB (3.205*,180.0)	TIAM2 (3.08*,201.0)	ROR2 (2.99*,214.0)
ENSG00000105329	TGFB1 PPI subnetwork	7.819E-10	<0.01	0	81.935	6.038	ELN (5.666*,22.0)	SFRP4 (5.327*,33.0)	MATN3 (4.641*,74.0)	SERPINF1 (4.266*,101.0)	LATS2 (3.692*,156.0)	CYP1B1 (3.689*,157.0)	MMP14 (3.466*,185.0)	LAMB2 (3.465*,186.0)	CRISPLD2 (3.39*,202.0)	FIBIN (3.387*,204.0)
